R,E_FCI,E_HF,E_CCSD,E_LuCJ,E_LuCJ1(VQE),E_LuCJ2(VQE),E_LuCJ4(VQE)
0.900000,-77.552597776765,-77.552268326838,-77.552597777340,-77.552311113101,-77.552538365153,-77.552538366037,-77.552580610649
0.950000,-77.711680672116,-77.711401098773,-77.711680672635,-77.711436664641,-77.711455292562,-77.711455292254,-77.711663778617
1.000000,-77.829421849203,-77.829177925687,-77.829421849682,-77.829208162795,-77.829228082931,-77.829228082889,-77.829405124985
1.050000,-77.915068050150,-77.914849982568,-77.915068050305,-77.914876651345,-77.914896834162,-77.914896833965,-77.915051375530
1.100000,-77.975792111507,-77.975592983867,-77.975792111758,-77.975616253974,-77.975603040327,-77.975603040587,-77.975610463865
1.150000,-78.017162471836,-78.016977287707,-78.017162472169,-78.016998281391,-78.016987883425,-78.016987883416,-78.016994951061
1.200000,-78.052037877336,-78.043333593145,-78.052037911245,-78.042237190325,-78.051885196410,-78.051990826599,-78.051893240061
1.250000,-78.068578652092,-78.058035938628,-78.068578710506,-78.056282030899,-78.068426247823,-78.068533113658,-78.068563244637
1.300000,-78.076305705825,-78.063720365909,-78.076305766144,-78.061098295185,-78.063748080222,-78.073883513665,-78.076305703108
1.350000,-78.077285709124,-78.062453327943,-78.077285769988,-78.058719053782,-78.077135983268,-78.077242551322,-78.077285705495
1.400000,-78.073144595442,-78.055860642623,-78.073144653812,-78.050736230789,-78.072997335388,-78.073102441933,-78.073144593120
1.450000,-78.065165493452,-78.045225644633,-78.065165598932,-78.038390933293,-78.065021440876,-78.065124257395,-78.065165491247
1.500000,-78.054362798224,-78.031563685715,-78.054362847011,-78.022692680839,-78.054222650084,-78.054322416547,-78.054362797393
1.550000,-78.041538351352,-78.015678856321,-78.041538392131,-78.004398753163,-78.041402741302,-78.041498786330,-78.041538349871
1.600000,-78.027280151270,-77.998207575807,-78.027280029838,-77.984136833101,-78.027194006539,-78.027220752838,-78.027280134196
1.650000,-78.012163554776,-77.979652547159,-78.012163680057,-77.962363680753,-78.012092422277,-78.012110396787,-78.012163542637
1.700000,-77.996543419835,-77.960409584398,-77.996543639592,-77.939495353732,-77.996484584330,-77.996495663749,-77.996543401195
1.750000,-77.980717661757,-77.940789055060,-77.980717848582,-77.915850128550,-77.980668556047,-77.980674561188,-77.980717654839
1.800000,-77.964912956071,-77.921033138331,-77.964913013878,-77.891704348346,-77.964871226687,-77.964873950811,-77.964912951164
1.850000,-77.949298882238,-77.901329743093,-77.949298748737,-77.867271002090,-77.949262428217,-77.949268336787,-77.949298863205
1.900000,-77.938116382829,-77.881823707131,-77.938062860066,-77.852214573389,-77.935391629397,-77.937549054274,-77.938099607821
1.950000,-77.924978033407,-77.862625761020,-77.924859386971,-77.832059538809,-77.920965667417,-77.924002035084,-77.924978030222
2.000000,-77.912869267440,-77.843819652401,-77.912627893304,-77.813071824650,-77.907060051762,-77.911896541311,-77.912869267259
2.050000,-77.901862189113,-77.825467765802,-77.901417769537,-77.795034203770,-77.893673372975,-77.900445604365,-77.901862187525
2.100000,-77.891926947244,-77.807615527009,-77.891190739789,-77.777600053502,-77.880780474155,-77.889925060952,-77.891926947199
2.150000,-77.882955143420,-77.790294842182,-77.881854647315,-77.760344333741,-77.868351734190,-77.880274795233,-77.882955143243
2.200000,-77.874814377271,-77.773526786259,-77.873317347418,-77.743018248386,-77.856365335226,-77.871409087455,-77.874814377105
2.250000,-77.867393574888,-77.757323720165,-77.865523577303,-77.725488469940,-77.844809485794,-77.863268237771,-77.867393574865
2.300000,-77.860618683936,-77.741690981112,-77.858461924483,-77.707748477254,-77.833678886536,-77.855824396366,-77.860618682026
2.350000,-77.854446504422,-77.726628255788,-77.852151593951,-77.689884172029,-77.822970404370,-77.849070531767,-77.854446502890
2.400000,-77.848851500258,-77.712130714831,-77.846623208494,-77.672054369539,-77.812680176438,-77.843005854834,-77.848851498459
2.450000,-77.843814345465,-77.698189961220,-77.841901919669,-77.654467915416,-77.802802341155,-77.837624974471,-77.843814343718
2.500000,-77.839314668124,-77.684794826588,-77.837993066396,-77.637386234276,-77.793328792297,-77.832912319491,-77.839314668017
2.550000,-77.835327539369,-77.671932037884,-77.834873741727,-77.621076764663,-77.784249437509,-77.828840745797,-77.835327537474
2.600000,-77.831822554758,-77.659586770911,-77.832490521504,-77.605786251096,-77.775552655822,-77.825372515111,-77.831822554309
2.650000,-77.828764472785,-77.647743104913,-77.830764323508,-77.591704913667,-77.767225753542,-77.822461018980,-77.828764471029
2.700000,-77.826114648922,-77.636384391668,-77.829599489393,-77.578944568549,-77.759255360306,-77.820053198367,-77.826114647330
2.750000,-77.823832742210,-77.625493552214,-77.828895274927,-77.567531545003,-77.751627749296,-77.818091930468,-77.823832740709
2.800000,-77.821878355122,-77.615053313480,-77.828554926406,-77.557417656845,-77.744329076943,-77.816518482773,-77.821878353922
