R_AA,E_FCI,E_CCSD,E_uCCSD,E_uCJ,E_2uCJ,E_3uCJ,E_L-1uCJ,E_L-2uCJ,E_L-1uCJ_opt,E_L-2uCJ_opt
0.400000,-0.950762327426,-0.950762326849,-0.950707483654,-0.950706216784,-0.944004660324,-0.948889249763,-0.937769549911,-0.941153970433,-0.950584159039,-0.944019661420
0.450000,-1.027183832139,-1.027183830433,-1.027162818738,-1.027162391523,-1.020332703939,-1.025277794772,-1.013518222832,-1.017214969242,-1.026965041514,-1.027183826947
0.500000,-1.077934643327,-1.077934641168,-1.077932534490,-1.077932528928,-1.071091796817,-1.076010943710,-1.063659462013,-1.067690683724,-1.077658865459,-1.071281523267
0.550000,-1.111110761135,-1.111110761394,-1.111106276826,-1.111106115109,-1.104366233663,-1.109178768009,-1.096277900414,-1.100666204930,-1.110764045831,-1.111110757886
0.600000,-1.132011367777,-1.132011368051,-1.131977850601,-1.131976874485,-1.125439028791,-1.130073677771,-1.116658138342,-1.121426039162,-1.131582403447,-1.125726120551
0.650000,-1.144214206333,-1.144214206672,-1.144120747853,-1.144118310846,-1.137868827298,-1.142266379636,-1.128360793837,-1.133530583090,-1.143907613528,-1.144214203902
0.700000,-1.150198461603,-1.150198462145,-1.150010870710,-1.150006426898,-1.144114289968,-1.148229074586,-1.133846280927,-1.139440204647,-1.149581250782,-1.150198459950
0.750000,-1.151721517222,-1.151721517347,-1.151402913393,-1.151396092841,-1.145912066391,-1.149712281071,-1.134852577015,-1.140893129560,-1.151003892976,-1.151721517347
0.800000,-1.150052646769,-1.150052645440,-1.149563636321,-1.149554306209,-1.144511400307,-1.147978502740,-1.132629843799,-1.139140063285,-1.149234350702,-1.150052646622
0.850000,-1.146121368470,-1.146121365781,-1.145419884870,-1.145408201174,-1.140823144201,-1.143950547153,-1.128089523692,-1.135093253795,-1.145205099322,-1.146121368271
0.900000,-1.140614578781,-1.140614574599,-1.139655501173,-1.139641958244,-1.135517360504,-1.138308661957,-1.121901979709,-1.129424103116,-1.139605969214,-1.140614577280
0.950000,-1.134042586230,-1.134042580454,-1.132777242862,-1.132762728023,-1.129089642207,-1.131556592961,-1.114562831208,-1.122629488609,-1.132950056207,-1.134042586224
1.000000,-1.126785670443,-1.126785670443,-1.125161308613,-1.125147168456,-1.121907776139,-1.124068184835,-1.106439627258,-1.115078423737,-1.125621055387,-1.126785670435
1.050000,-1.119127797813,-1.119127794613,-1.117087084428,-1.117075208789,-1.114245398626,-1.116121153036,-1.097805502956,-1.107045686919,-1.117905750807,-1.119127796685
1.100000,-1.111281370326,-1.111281370326,-1.108761930945,-1.108754858949,-1.106306535180,-1.107921840093,-1.088863807906,-1.098736426525,-1.110119596155,-1.111281370200
1.150000,-1.103405450703,-1.103405438402,-1.100339487730,-1.100340541034,-1.098243555127,-1.099623487856,-1.079766090439,-1.090304083409,-1.102127169513,-1.103405450195
1.200000,-1.095619165369,-1.095619165182,-1.091933128785,-1.091946575250,-1.090170254596,-1.091339622695,-1.070625350014,-1.081863600922,-1.094401216886,-1.095619160460
1.250000,-1.088011554322,-1.088011554151,-1.083625935827,-1.083657186608,-1.082171454629,-1.083153994945,-1.061525647893,-1.073500942436,-1.086779205672,-1.088011553882
1.300000,-1.080648826938,-1.080648826939,-1.075478057152,-1.075533897916,-1.074310037255,-1.075127871699,-1.052529326320,-1.065280262423,-1.079483010424,-1.080385880438
1.350000,-1.073579731002,-1.073579730874,-1.067532263923,-1.067621117884,-1.066632220722,-1.067305560892,-1.043682314760,-1.057249135819,-1.072505350492,-1.073579729294
1.400000,-1.066839539649,-1.066839538486,-1.059818160493,-1.059950376859,-1.059171546898,-1.059718583596,-1.035018165785,-1.049442539226,-1.065868226843,-1.066839523482
