R,E_FCI,E_HF,E_CCSD,E_LuCJ,E_LuCJ1(opt),E_LuCJ2(opt)
0.300000,-0.638777519499,-0.611850047780,-0.638777525770,-0.613693210948,-0.620856957851,-0.620856957819
0.350000,-0.821818820208,-0.793957659812,-0.821818818587,-0.795946395432,-0.809936270518,-0.821321258358
0.400000,-0.943133613484,-0.914348691471,-0.943133601876,-0.916497607225,-0.935771056593,-0.942601962033
0.450000,-1.024603054281,-0.994914589919,-1.024603034152,-0.997237495203,-1.017495629920,-1.024035500194
0.500000,-1.079370050877,-1.048800556213,-1.079370025895,-1.051310870824,-1.072596414037,-1.078766715077
0.550000,-1.115740135112,-1.084308823929,-1.115740110364,-1.087019757784,-1.109097281601,-1.115102569405
0.600000,-1.139173293286,-1.106892475145,-1.139173277592,-1.109817015825,-1.132501764577,-1.138503514016
0.650000,-1.153371342127,-1.120244312725,-1.153371318084,-1.123395054547,-1.146651664479,-1.152681005375
0.700000,-1.160904682477,-1.126924692301,-1.160904647550,-1.130313548720,-1.154275344130,-1.160233366867
0.750000,-1.163593560652,-1.128743134753,-1.163593566978,-1.132381169196,-1.157175430551,-1.162926658180
0.800000,-1.162750763022,-1.127000720884,-1.162750770381,-1.130898196256,-1.156871152404,-1.162084592997
0.850000,-1.159340218869,-1.122648324428,-1.159340226681,-1.126814964778,-1.153944258002,-1.158675398678
0.900000,-1.154081706119,-1.116391300444,-1.154081713572,-1.120836568894,-1.148985235852,-1.153419487966
0.950000,-1.147520380880,-1.108759354569,-1.147520388281,-1.113492661389,-1.142718155053,-1.146862511399
1.000000,-1.140073480873,-1.100153764878,-1.140073491376,-1.105184566165,-1.135566137507,-1.139422174693
1.050000,-1.132062374691,-1.090879978688,-1.132062375533,-1.096217776255,-1.127848363409,-1.131420271471
1.100000,-1.123735236595,-1.081170784378,-1.123735236897,-1.086825057511,-1.119810803487,-1.123105210040
1.150000,-1.115283655465,-1.071203331016,-1.115283655301,-1.077183411918,-1.111643059622,-1.114668760693
1.200000,-1.106855192512,-1.061111997857,-1.106855191533,-1.067426933870,-1.103490967685,-1.106258533946
