R,E_CCSD,E_uCJ,E_LuCJ
0.800000,-108.459357414888,-108.455812360887,-108.316365825111
0.850000,-108.699049157783,-108.694442725677,-108.548752878882
0.900000,-108.863400331762,-108.857408555938,-108.704906624931
0.950000,-108.972089278514,-108.964372350080,-108.805289485534
1.000000,-109.039825692973,-109.030033118569,-108.864503137556
1.050000,-109.077660377941,-109.065437589594,-108.893526558386
1.100000,-109.093921175600,-109.078896489978,-108.900639941855
1.150000,-109.094887187050,-109.076677194208,-108.892042245618
1.200000,-109.085285856804,-109.063485780183,-108.872492504016
1.250000,-109.068661710362,-109.042838858869,-108.845913556032
1.300000,-109.047655832811,-109.017322606514,-108.814742263672
1.350000,-109.024218963163,-108.988820768204,-108.780195037788
1.400000,-108.999776127507,-108.958676108573,-108.745067221145
1.450000,-108.975357383211,-108.927768642174,-108.709594380845
1.500000,-108.951706069395,-108.896605294121,-108.674695482319
1.550000,-108.929372017206,-108.865346950493,-108.640889050238
1.600000,-108.908793909635,-108.833985459801,-108.608524302819
1.650000,-108.890374693548,-108.802004950087,-108.577815357910
1.700000,-108.874548735786,-108.768566581159,-108.549000162022
1.750000,-108.861845776933,-108.732162498914,-108.522167819664
1.800000,-108.852933070973,-108.690551628197,-108.497425225394
1.850000,-108.848595787843,-108.640977733593,-108.474796912673
1.900000,-108.849555334960,-108.581063221531,-108.454151882499
1.950000,-108.855995809518,-108.511364838834,-108.435078665349
2.000000,-108.866992443351,-108.437002780774,-108.417314500387
2.050000,-108.880608978811,-108.365719483515,-108.400009484279
2.100000,-108.894835529530,-108.303814785053,-108.383118098752
