n_reps,E_heavyhex,E_hex,E_square,E_alltoall
1,-108.563555072728,-108.570241405001,-108.582303828819,-108.664985208030
2,-108.585898632742,-108.598070866896,-108.618083368246,-108.678976183718
3,-108.584176854132,-108.597712959028,-108.619892743645,-108.683336507124
4,-108.582263471168,-108.597131529943,-108.621480621108,-108.688817640960
5,-108.579077676889,-108.594284719547,-108.619234522842,-108.691162633603
6,-108.575680790530,-108.591215142854,-108.616723519950,-108.694753616428
7,-108.576658136402,-108.592173558741,-108.618576667937,-108.696951810312
8,-108.577519403992,-108.593005526979,-108.619998192447,-108.698804702130
9,-108.578484508790,-108.593960772872,-108.621836346793,-108.700919960611
10,-108.579329884228,-108.594788064859,-108.623248857101,-108.702695345233
