R,E_FCI,E_HF,E_CCSD,E_LuCJ,E_LuCJ1(opt),E_LuCJ3(opt),E_LuCJ7(opt)
0.800000,-107.828085511808,-107.741115740710,-107.826907719110,-107.751770626322,-107.789723737664,-107.816752176216,-107.825177526614
0.900000,-108.343277766145,-108.236212498988,-108.341520737189,-108.249979082825,-108.299285982523,-108.335763011209,-108.341379974772
1.000000,-108.595987350986,-108.464957764796,-108.593330908501,-108.482593758908,-108.546101392798,-108.582707906328,-108.593104239820
1.100000,-108.701561742328,-108.542471308893,-108.697526150463,-108.564795206688,-108.645659945205,-108.686594343811,-108.698807068748
1.200000,-108.726854901758,-108.535614528761,-108.720807862867,-108.563533113459,-108.664838181153,-108.708233684453,-108.723186845675
1.300000,-108.710790655976,-108.483430129217,-108.702075206256,-108.518137207249,-108.642644921906,-108.690615977941,-108.707990513280
1.400000,-108.675952355688,-108.408596895667,-108.664255536697,-108.451470676269,-108.601427824304,-108.652053128901,-108.673131578387
1.500000,-108.635450320952,-108.324154785276,-108.621606060906,-108.377389669450,-108.554015638955,-108.607235821666,-108.632249027140
1.600000,-108.596971879904,-108.237523481576,-108.584456051343,-108.304310023439,-108.506897754798,-108.564334414452,-108.593470856050
1.700000,-108.564860562747,-108.152872753473,-108.561908430804,-108.237589523369,-108.462303360208,-108.531148139281,-108.561096679917
1.800000,-108.540863345903,-108.072492712453,-108.562085872022,-108.179997115625,-108.420576101220,-108.514500512528,-108.536564872092
1.900000,-108.524560166777,-107.997579896344,-108.585744381974,-108.130525053906,-108.381637502435,-108.505692295205,-108.520537862486
2.000000,-108.514261922578,-107.928689936689,-108.617783486600,-108.084931683894,-108.345419397721,-108.500747445357,-108.510740550070
2.100000,-108.508047665635,-107.865998408260,-108.644981308805,-108.041436706759,-108.311929292271,-108.498343336476,-108.504585173824
2.200000,-108.504364774549,-107.809449566428,-108.141354175330,-107.855968988010,-108.281221312871,-108.497467545905,-108.500995878627
2.300000,-108.502166697492,-107.758840052279,-107.967310528925,-107.751119699457,-108.253346634968,-108.497344655739,-108.498831437992
2.400000,-108.500821142757,-107.713866522815,-108.035543654153,-107.707906719965,-108.228311147989,-108.497504107863,-108.497589377330
