R,E
0.8,-108.66582618240052
0.8500000000000001,-108.90183325827063
0.9,-109.06252762475116
0.9500000000000001,-109.16763598115111
1.0,-109.23215152495698
1.05,-109.26709863476937
1.1,-109.2808596379633
1.1500000000000001,-109.27967008412949
1.2000000000000002,-109.26823536680122
1.25,-109.25011786549854
1.3,-109.22774729045595
1.35,-109.2032166523881
1.4000000000000001,-109.17779083751948
1.4500000000000002,-109.15250579876964
1.5,-109.12808857968092
1.55,-109.10506495781371
1.6,-109.08374977839976
1.6500000000000001,-109.0643747069253
1.7000000000000002,-109.04706226004345
1.75,-109.03186073953286
1.8,-109.01877770207493
1.85,-109.00767533438834
1.9000000000000001,-108.99843390185596
1.9500000000000002,-108.99086606056252
2.0,-108.98475155464558
2.05,-108.97988464463201
2.1,-108.97603086221464
2.1500000000000004,-108.97299939504828
2.2,-108.97063919282989
