R,E
8.000000000000000444e-01,-1.083044163421720611e+02
8.500000000000000888e-01,-1.085357936870225188e+02
9.000000000000000222e-01,-1.086909156790180049e+02
9.500000000000000666e-01,-1.087902043938987759e+02
1.000000000000000000e+00,-1.088482887296372326e+02
1.050000000000000044e+00,-1.088761287909469644e+02
1.100000000000000089e+00,-1.088820099549038360e+02
1.150000000000000133e+00,-1.088721865347190771e+02
1.200000000000000178e+00,-1.088513912574996425e+02
1.250000000000000000e+00,-1.088231818170457359e+02
1.300000000000000044e+00,-1.087902211096711227e+02
1.350000000000000089e+00,-1.087545054880652629e+02
1.400000000000000133e+00,-1.087174736666092087e+02
1.450000000000000178e+00,-1.086801588700658954e+02
1.500000000000000000e+00,-1.086432643879459761e+02
1.550000000000000044e+00,-1.086072777502448332e+02
1.600000000000000089e+00,-1.085725045339126922e+02
1.650000000000000133e+00,-1.085391402247891506e+02
1.700000000000000178e+00,-1.085076272820529368e+02
1.750000000000000000e+00,-1.084770878573127959e+02
1.800000000000000044e+00,-1.084485284628306516e+02
1.850000000000000089e+00,-1.084216459459476880e+02
1.900000000000000133e+00,-1.083967779943073992e+02
1.950000000000000178e+00,-1.083726203353065216e+02
2.000000000000000000e+00,-1.083500028964259343e+02
2.049999999999999822e+00,-1.083283371387463347e+02
2.100000000000000089e+00,-1.083074655805844344e+02
