R,E
0.40,-0.9183565039
0.45,-0.9992465749
0.50,-1.0534798784
0.55,-1.0893601785
0.60,-1.1123456437
0.65,-1.1261368858
0.70,-1.1333018058
0.75,-1.1356539623
0.80,-1.1344938060
0.85,-1.1307685229
0.90,-1.1251791517
0.95,-1.1182521027
1.00,-1.1103868216
1.05,-1.1018880690
1.10,-1.0929885262
1.15,-1.0838651874
1.20,-1.0746517063
1.25,-1.0654477917
1.30,-1.0563266025
1.35,-1.0473401373
1.40,-1.0380506210
1.45,-1.0293739366
1.50,-1.0209146130
1.55,-1.0126840297
1.60,-1.0046896941
1.65,-0.9860652784
1.70,-0.9796343920
1.75,-0.9733338591
1.80,-0.9671803527
1.85,-0.9611866537
1.90,-0.9553623468
1.95,-0.9497144460
2.00,-0.9442478270
2.05,-0.9389658500
2.10,-0.9338704178
2.15,-0.9289625425
2.20,-0.9281963941
2.25,-0.9233867847
2.30,-0.9187947430
2.35,-0.9144145991
2.40,-0.9102406991
2.45,-0.9062673005
2.50,-0.9024887913
