R,E
8.000000000000000444e-01,-1.077702467522681076e+02
8.499999999999999778e-01,-1.080648190094588870e+02
9.000000000000000222e-01,-1.082732537834552602e+02
9.499999999999999556e-01,-1.084182505358570268e+02
1.000000000000000000e+00,-1.085128565784088295e+02
1.050000000000000044e+00,-1.085713372538877906e+02
1.100000000000000089e+00,-1.086033629198740300e+02
1.149999999999999911e+00,-1.086133210572759964e+02
1.199999999999999956e+00,-1.086104498889767314e+02
1.250000000000000000e+00,-1.085960570651218546e+02
1.300000000000000044e+00,-1.085750965052455399e+02
1.350000000000000089e+00,-1.085490641141378774e+02
1.399999999999999911e+00,-1.085209612381680984e+02
1.449999999999999956e+00,-1.084905313198047168e+02
1.500000000000000000e+00,-1.084604139423205993e+02
1.550000000000000044e+00,-1.084317092906857027e+02
1.600000000000000089e+00,-1.084047027239437995e+02
1.649999999999999911e+00,-1.083788110291380207e+02
1.699999999999999956e+00,-1.083559752008076345e+02
1.750000000000000000e+00,-1.083344160170506143e+02
1.800000000000000044e+00,-1.083158522991917749e+02
1.850000000000000089e+00,-1.082969095453061925e+02
1.899999999999999911e+00,-1.082791677331942140e+02
1.949999999999999956e+00,-1.082618397134066441e+02
2.000000000000000000e+00,-1.082443973112311113e+02
2.049999999999999822e+00,-1.082272862295803861e+02
2.100000000000000089e+00,-1.082108014235084852e+02
