R,E
0.8000000000,-107.7594720228
0.8500000000,-108.0527183630
0.9000000000,-108.2597686860
0.9500000000,-108.4017926191
1.0000000000,-108.4948558423
1.0500000000,-108.5511536523
1.1000000000,-108.5800030672
1.1500000000,-108.5885341764
1.2000000000,-108.5822101998
1.2500000000,-108.5652202623
1.3000000000,-108.5407808890
1.3500000000,-108.5113708250
1.4000000000,-108.4789140263
1.4500000000,-108.4449231430
1.5000000000,-108.4106077054
1.5500000000,-108.3769495504
1.6000000000,-108.3447435799
1.6500000000,-108.3146046015
1.7000000000,-108.2869544617
1.7500000000,-108.2624053940
1.8000000000,-108.2396258218
1.8500000000,-108.2193749706
1.9000000000,-108.2004220172
1.9500000000,-108.1820006942
2.0000000000,-108.1637269309
2.0500000000,-108.1455680984
2.1000000000,-108.1276530891
