R,E_heavyhex,E_hex,E_square,E_alltoall
0.800000,-107.751770780773,-107.754485466093,-107.759470886973,-107.795170535355
0.850000,-108.044025897133,-108.047095379123,-108.052715922781,-108.092904210186
0.900000,-108.249978413337,-108.253438979173,-108.259759776281,-108.304834430164
0.950000,-108.390896084782,-108.394797644221,-108.402050544021,-108.452175612603
1.000000,-108.482638553801,-108.487011109955,-108.495079341337,-108.550971986056
1.050000,-108.537456150374,-108.542328188872,-108.551158234050,-108.613412522216
1.100000,-108.564783411642,-108.570215592449,-108.580059761898,-108.648785066916
1.150000,-108.571648927024,-108.577680720758,-108.588557229641,-108.664175265637
1.200000,-108.563533101526,-108.570215277374,-108.582216443410,-108.664985208031
1.250000,-108.544614596033,-108.552002288342,-108.565230646764,-108.655322999870
1.300000,-108.518087431710,-108.526240154119,-108.540789810439,-108.638298121161
1.350000,-108.486422517599,-108.495404414222,-108.511424254022,-108.616245047538
1.400000,-108.451471472201,-108.461372837517,-108.478925905957,-108.590886728548
1.450000,-108.414745342032,-108.425659008001,-108.444936336071,-108.563446455822
1.500000,-108.377390193908,-108.389434522005,-108.410625467520,-108.534708557822
1.550000,-108.340344361279,-108.353644086258,-108.377024824415,-108.505032875396
1.600000,-108.304310030085,-108.319075079330,-108.344762942197,-108.474335969333
1.650000,-108.269917543268,-108.286320045681,-108.314625910259,-108.442079116722
1.700000,-108.237588783087,-108.255823540964,-108.286971803707,-108.407321048843
1.750000,-108.207431447702,-108.227130294357,-108.262428607027,-108.368887152868
1.800000,-108.179974945862,-108.202349455933,-108.239528819647,-108.325724734183
1.850000,-108.154140239901,-108.178166963102,-108.219165405076,-108.277582706746
1.900000,-108.130447465793,-108.157172676836,-108.200053305253,-108.225745220232
1.950000,-108.107456101047,-108.136438694330,-108.182014371857,-108.172774793766
2.000000,-108.084931682430,-108.115807582419,-108.163737466934,-108.121213838367
2.050000,-108.062898905915,-108.095486231747,-108.145576024235,-108.072690300118
2.100000,-108.041436706763,-108.075570313941,-108.127659315092,-108.027913904065
