R,E_sqd
0.7000000000,-107.6911305006
0.8000000000,-108.5611264356
0.9000000000,-108.9283431591
1.0000000000,-109.0874908524
1.1000000000,-109.1347606042
1.2000000000,-109.1194333691
1.3000000000,-109.0820375705
1.4000000000,-109.0297768355
1.5000000000,-108.9772698705
1.6000000000,-108.9421317193
1.7000000000,-108.8968960960
1.8000000000,-108.8581668056
1.9000000000,-108.8375912738
2.0000000000,-108.8225467197
2.1000000000,-108.8235649374
2.2000000000,-108.8224642620
2.3000000000,-108.8453854625
