R,E_sqd
0.7000000000,-107.9843720737
0.8000000000,-108.7336942731
0.9000000000,-109.0981251445
1.0000000000,-109.2322805343
1.1000000000,-109.2790243818
1.2000000000,-109.2574638152
1.3000000000,-109.2126253361
1.4000000000,-109.1538101422
1.5000000000,-109.0888574803
1.6000000000,-109.0424897719
1.7000000000,-109.0008016570
1.8000000000,-108.9586878398
1.9000000000,-108.9212587491
2.0000000000,-108.9008323998
2.1000000000,-108.8866511351
2.2000000000,-108.8782561909
2.3000000000,-108.8678706256
2.4000000000,-108.8723850902
