R,iter,nfev,energy,error,method
1.200000,1,227,-78.051880147207,0.000157730128,LM
1.200000,2,342,-78.051885197583,0.000152679753,LM
1.200000,3,454,-78.051885200507,0.000152676828,LM
1.200000,4,569,-78.051885200509,0.000152676827,LM
1.200000,4,570,-78.051885200509,0.000152676827,LM
1.200000,1,38,-78.045187502860,0.006850374476,COBYLA
1.200000,2,39,-78.045187502860,0.006850374476,COBYLA
1.200000,3,41,-78.045187502860,0.006850374476,COBYLA
1.200000,4,43,-78.045187502860,0.006850374476,COBYLA
1.200000,5,45,-78.045187502860,0.006850374476,COBYLA
1.200000,6,47,-78.045187502860,0.006850374476,COBYLA
1.200000,7,49,-78.045187502860,0.006850374476,COBYLA
1.200000,8,51,-78.045187502860,0.006850374476,COBYLA
1.200000,9,53,-78.045187502860,0.006850374476,COBYLA
1.200000,10,55,-78.045187502860,0.006850374476,COBYLA
1.200000,11,57,-78.045187502860,0.006850374476,COBYLA
1.200000,12,59,-78.045187502860,0.006850374476,COBYLA
1.200000,13,61,-78.045187502860,0.006850374476,COBYLA
1.200000,14,63,-78.045187502860,0.006850374476,COBYLA
1.200000,15,65,-78.045187502860,0.006850374476,COBYLA
1.200000,16,67,-78.045187502860,0.006850374476,COBYLA
1.200000,17,69,-78.045188487013,0.006849390322,COBYLA
1.200000,18,71,-78.045188487013,0.006849390322,COBYLA
1.200000,19,73,-78.045188973929,0.006848903407,COBYLA
1.200000,20,75,-78.045188973929,0.006848903407,COBYLA
1.200000,21,77,-78.045188973929,0.006848903407,COBYLA
1.200000,22,79,-78.045192169411,0.006845707925,COBYLA
1.200000,23,81,-78.045192169411,0.006845707925,COBYLA
1.200000,24,83,-78.045192169411,0.006845707925,COBYLA
1.200000,25,85,-78.045192449275,0.006845428060,COBYLA
1.200000,26,87,-78.045192449275,0.006845428060,COBYLA
1.200000,27,89,-78.045192449275,0.006845428060,COBYLA
1.200000,28,90,-78.045192449275,0.006845428060,COBYLA
1.200000,29,92,-78.045192449275,0.006845428060,COBYLA
1.200000,30,94,-78.045192449275,0.006845428060,COBYLA
1.200000,31,96,-78.045253073880,0.006784803456,COBYLA
1.200000,32,97,-78.045352476225,0.006685401111,COBYLA
1.200000,33,99,-78.045364635192,0.006673242144,COBYLA
1.200000,34,101,-78.045364635192,0.006673242144,COBYLA
1.200000,35,103,-78.045364635192,0.006673242144,COBYLA
1.200000,36,104,-78.045509253979,0.006528623356,COBYLA
1.200000,37,105,-78.045711216997,0.006326660338,COBYLA
1.200000,38,107,-78.045711216997,0.006326660338,COBYLA
1.200000,39,108,-78.045903002260,0.006134875076,COBYLA
1.200000,40,109,-78.045977022886,0.006060854450,COBYLA
