iter,nfev,E
   0,   41,0.803412603117
   1,   43,-1.134589866254
   2,   45,-1.134995856295
   3,   47,-1.134979014064
   4,   49,-1.134987558760
   5,   51,-1.135231887715
   6,   53,-1.135403496030
   7,   55,-1.135320329590
   8,   57,-1.135309109251
   9,   59,-1.135791385320
  10,   61,-1.135786694214
  11,   63,-1.135762451536
  12,   65,-1.135802679013
  13,   67,-1.135334772619
  14,   69,-1.135869392094
  15,   71,-1.135549023917
  16,   73,-1.135876394256
  17,   75,-1.135876394255
  18,   77,-1.135876394255
  19,   79,-1.135876394255
  20,   81,-1.135853157550
  21,   83,-1.135839856877
  22,   85,-1.135799865171
  23,   87,-1.135867895882
  24,   89,-1.135903233308
  25,   91,-1.135781625838
  26,   92,-1.136086073313
  27,   94,-1.136268228691
  28,   96,-1.136244896001
  29,   98,-1.136245734229
  30,  100,-1.136185864072
  31,  102,-1.136293504693
  32,  104,-1.136342989198
  33,  106,-1.131025197598
  34,  108,-1.136431391262
  35,  110,-1.135927975558
  36,  112,-1.136869218105
  37,  113,-1.137741090109
  38,  115,-1.137866526284
  39,  117,-1.138545373757
  40,  119,-1.138455678872
  41,  121,-1.138999076571
  42,  123,-1.139541190709
  43,  125,-1.139942130019
  44,  127,-1.140024735413
  45,  129,-1.140200901317
  46,  131,-1.140259558340
  47,  133,-1.140180114815
  48,  135,-1.140545364195
  49,  137,-1.140551311083
  50,  139,-1.140382901731
  51,  141,-1.140699375690
  52,  143,-1.140851567238
  53,  145,-1.140855534820
  54,  147,-1.140997136510
  55,  149,-1.140962595356
  56,  151,-1.141003036674
  57,  153,-1.141011420149
  58,  155,-1.141019329908
  59,  157,-1.140685585217
  60,  159,-1.140801522851
  61,  161,-1.141033272647
  62,  163,-1.140343696363
  63,  165,-1.141185025181
  64,  167,-1.141277243502
  65,  168,-1.141716189583
  66,  170,-1.141941449158
  67,  172,-1.141796289271
  68,  174,-1.142969376442
  69,  176,-1.142653227250
  70,  178,-1.142490637904
  71,  180,-1.143021645513
  72,  182,-1.141970029335
  73,  184,-1.140785258067
  74,  186,-1.140288604666
  75,  188,-1.143063569396
  76,  190,-1.141447064262
  77,  192,-1.142754247204
  78,  194,-1.140883975572
  79,  196,-1.142697317420
  80,  198,-1.143951058917
  81,  200,-1.142784904086
  82,  202,-1.144221703896
  83,  204,-1.144049606021
  84,  206,-1.144401119925
  85,  208,-1.144454563241
  86,  210,-1.144397720121
  87,  212,-1.144340928703
  88,  214,-1.144103752350
  89,  216,-1.144262393158
  90,  218,-1.145087124132
  91,  220,-1.144764667767
  92,  221,-1.144144784498
  93,  223,-1.145082611250
  94,  225,-1.145068345416
  95,  227,-1.145099341528
  96,  229,-1.145144151233
  97,  230,-1.145371294445
  98,  232,-1.145427018588
  99,  234,-1.145430402553
 100,  236,-1.145593888313
 101,  238,-1.145643479453
 102,  239,-1.145661142982
 103,  241,-1.145656438366
 104,  243,-1.145663792038
 105,  244,-1.145884990114
 106,  245,-1.145888451314
 107,  247,-1.145903817411
 108,  249,-1.145936807924
 109,  250,-1.145943104438
 110,  251,-1.146003252152
 111,  253,-1.146003587019
 112,  255,-1.146053069169
