R,iter,nfev,energy,Error
0.750000,1,161,-1.146326809661,0.005361737752
0.750000,2,276,-1.147588909024,0.004099638389
0.750000,3,472,-1.151207378825,0.000481168587
0.750000,4,587,-1.151398091157,0.000290456256
0.750000,5,717,-1.151649115622,0.000039431791
0.750000,6,799,-1.151688507805,0.000000039608
0.750000,7,881,-1.151688547512,0.000000000099
0.750000,8,963,-1.151688547517,0.000000000104
0.750000,9,1045,-1.151688547517,0.000000000104
0.750000,10,1127,-1.151688547517,0.000000000104
0.750000,11,1209,-1.151688547517,0.000000000104
0.750000,12,1291,-1.151688547517,0.000000000104
0.750000,13,1373,-1.151688547517,0.000000000104
0.750000,14,1455,-1.151688547517,0.000000000104
0.750000,15,1537,-1.151688547517,0.000000000104
0.750000,16,1619,-1.151688547517,0.000000000104
0.750000,17,1701,-1.151688547517,0.000000000104
0.750000,18,1783,-1.151688547517,0.000000000104
0.750000,19,1865,-1.151688547517,0.000000000104
0.750000,20,1947,-1.151688547517,0.000000000104
0.750000,21,2029,-1.151688547517,0.000000000104
0.750000,22,2111,-1.151688547517,0.000000000104
0.750000,23,2193,-1.151688547517,0.000000000104
0.750000,24,2275,-1.151688547517,0.000000000104
0.750000,25,2357,-1.151688547517,0.000000000104
0.750000,26,2439,-1.151688547517,0.000000000104
0.750000,27,2521,-1.151688547517,0.000000000104
0.750000,28,2603,-1.151688547517,0.000000000104
0.750000,29,2685,-1.151688547517,0.000000000104
0.750000,30,2767,-1.151688547517,0.000000000104
0.750000,31,2849,-1.151688547517,0.000000000104
0.750000,32,2931,-1.151688547517,0.000000000104
0.750000,33,3013,-1.151688547517,0.000000000104
0.750000,34,3095,-1.151688547517,0.000000000104
0.750000,35,3177,-1.151688547517,0.000000000104
0.750000,36,3259,-1.151688547517,0.000000000104
0.750000,37,3341,-1.151688547517,0.000000000104
0.750000,38,3423,-1.151688547517,0.000000000104
0.750000,39,3505,-1.151688547517,0.000000000104
0.750000,40,3587,-1.151688547517,0.000000000104
0.750000,41,3669,-1.151688547517,0.000000000104
0.750000,42,3751,-1.151688547517,0.000000000104
0.750000,43,3833,-1.151688547517,0.000000000104
0.750000,44,3915,-1.151688547517,0.000000000104
0.750000,44,3916,-1.151688547517,0.000000000104
