iteration,nfev,energy
0,8,-1.1348657594201292
1,15,-1.1349146162155137
2,22,-1.1347954523391321
3,29,-1.1291637860967587
4,36,-1.1349715798580167
5,43,-1.1349709106485353
6,50,-1.1349742845553252
7,57,-1.1349671011040467
8,64,-1.135102714716355
9,71,-1.135164134331353
10,78,-1.1351616003665426
11,85,-1.1352888542607218
12,92,-1.1352140317733903
13,99,-1.1352934395777388
14,106,-1.1344047000976172
15,113,-1.136612633247935
16,120,-1.1368687889476672
17,127,-1.1369366461588
18,134,-1.1347649152681738
19,141,-1.1370321636468872
20,148,-1.1356408807180824
21,155,-1.13693603378202
22,162,-1.1370372554318364
23,169,-1.137021110657728
24,176,-1.137454734530854
25,183,-1.1355246318478287
26,190,-1.1381672841241661
27,197,-1.138134052112806
28,204,-1.1378794445926814
29,211,-1.1380265922973964
30,218,-1.1371268028809731
31,225,-1.1377045325490298
32,232,-1.1378403802668784
33,239,-1.1381983470867802
34,246,-1.1381616145997013
35,253,-1.1383658178025062
36,260,-1.1384265978165253
37,267,-1.1383677861101078
38,274,-1.1385177722012867
39,281,-1.1389786800057253
40,288,-1.138449562546856
41,295,-1.1374655772369155
42,302,-1.1391426007457806
43,309,-1.1391370901864297
44,316,-1.1392068209576465
45,323,-1.1404309575764058
46,330,-1.139560093051786
47,337,-1.1400098038376851
48,344,-1.1394882462453262
49,351,-1.1405473844233764
50,358,-1.1410508946879343
51,365,-1.1410584625993518
52,372,-1.1410413076635844
53,379,-1.141417449447845
54,386,-1.1413242551652623
55,393,-1.141529423863355
56,400,-1.1415255513738598
57,407,-1.1414890652114182
58,414,-1.1414769999775438
59,421,-1.1415291832267382
60,428,-1.1414813350840627
61,435,-1.1415052937438301
62,442,-1.1414844243259126
63,449,-1.1415301224427246
64,456,-1.1415309498891706
65,463,-1.141267110178703
66,470,-1.141619457614214
67,477,-1.1416664047368044
68,484,-1.1414802849552297
69,491,-1.1415841773877944
70,498,-1.1415622509575172
71,505,-1.1416571140646874
72,512,-1.1417863080095854
73,519,-1.1422361251666722
74,526,-1.1423427483028086
75,533,-1.1428936503462366
76,540,-1.142924793425566
77,547,-1.1432045166437297
78,554,-1.1431947266355407
79,561,-1.1427114458006256
80,568,-1.143077507463875
81,575,-1.1431851150149908
82,582,-1.1428567396621974
83,589,-1.1433733027964188
84,596,-1.1431826021653062
85,603,-1.1438310406653391
86,610,-1.143864216916902
87,617,-1.1438444415345426
88,624,-1.1431904933699906
89,631,-1.1440217648358935
90,638,-1.1439824482950154
91,645,-1.1439922142349965
92,652,-1.1440282423882484
93,659,-1.144039585372865
94,666,-1.1440940370656276
95,673,-1.144169702248565
96,680,-1.1439311096191853
97,687,-1.1441390922983852
98,694,-1.1441621814260619
99,701,-1.1442320174172735
100,708,-1.1440371434152727
101,715,-1.1442186835491854
102,722,-1.1443648435457785
103,729,-1.1444608741899105
104,736,-1.1443122024087669
105,743,-1.1444516135867169
106,750,-1.144289656760491
107,757,-1.1444633958193033
108,764,-1.144483656959683
109,771,-1.1444099757644874
110,778,-1.1443143887522615
111,785,-1.144401635256987
112,792,-1.1445178456357388
113,799,-1.1443326875398256
114,806,-1.144563285062204
115,813,-1.1445603032880705
116,820,-1.1444943274499506
117,827,-1.144611335372329
118,834,-1.1446124475247035
119,841,-1.144634053078775
120,848,-1.1446025755559692
121,855,-1.1446590764720788
122,862,-1.1446739931272016
123,869,-1.1444764965193055
124,876,-1.1446741040654411
125,883,-1.1447193914933511
126,890,-1.1448718037090497
127,897,-1.1446116263592248
128,904,-1.1447282744109404
129,911,-1.1448679148717416
130,918,-1.1448390472260657
131,925,-1.144766941111983
132,932,-1.1449315839804417
133,939,-1.1449123989566898
134,946,-1.1450426812134662
135,953,-1.1450285795995574
136,960,-1.144863910370352
137,967,-1.145051112469743
138,974,-1.1450538360095173
139,981,-1.1450756492143017
140,988,-1.14502737790119
141,995,-1.1450705012471463
142,1002,-1.1450909459420135
143,1009,-1.144998519269059
144,1016,-1.145250192162304
145,1023,-1.145259402443175
146,1030,-1.1452302142236424
147,1037,-1.1452642323764533
148,1044,-1.1453412686112208
149,1051,-1.1451865705778839
150,1058,-1.1453010994818844
151,1065,-1.1452924028494296
152,1072,-1.1453765383517016
153,1079,-1.1453938103653154
154,1086,-1.1453172981979154
155,1093,-1.1453784740008188
156,1100,-1.1452193806919586
