iteration,nfev,energy
0,4,-1.1344960566792635
1,7,-1.1351773511026881
2,10,-1.135190544966008
3,13,-1.135201217275285
4,16,-1.1351702905895453
5,19,-1.135178686934326
6,22,-1.1348841231721123
7,25,-1.1352137842381942
8,28,-1.1355562555561964
9,31,-1.1355539641731416
10,34,-1.1353096066973676
11,37,-1.1355634155666514
12,40,-1.1355413818338267
13,43,-1.1350657496329903
14,46,-1.1352191547202362
15,49,-1.1356915827440386
16,52,-1.13479566661782
17,55,-1.135814140006202
18,58,-1.136941592999495
19,61,-1.136802719889594
20,64,-1.1373740152088827
21,67,-1.1373842341818394
22,70,-1.1379335564909474
23,73,-1.1376749127470795
24,76,-1.1379672498276396
25,79,-1.1379734874410137
26,82,-1.1379744455628646
27,85,-1.1384327099404166
28,88,-1.138439897075091
29,91,-1.1389275400051422
30,94,-1.139223030951811
31,97,-1.1394762501471016
32,100,-1.1403418201360944
33,103,-1.1401570413078805
34,106,-1.1403564795326415
35,109,-1.140313751141255
36,112,-1.1406548271502095
37,115,-1.140655323696459
38,118,-1.140550798828271
39,121,-1.1406815673288602
40,124,-1.1406840959099718
41,127,-1.1407124919732046
42,130,-1.1404914425941404
43,133,-1.140591351052709
44,136,-1.1407511704357147
45,139,-1.14079116563881
46,142,-1.1407747878916843
47,145,-1.140864076157978
48,148,-1.1408611579277201
49,151,-1.1409026329147751
50,154,-1.140874442169566
51,157,-1.1410341747969035
52,160,-1.1411813005257523
53,163,-1.1412466008327562
54,166,-1.1411934646881312
55,169,-1.1412459250841254
56,172,-1.1412148414827017
57,175,-1.1413806823714048
58,178,-1.1413762665976042
59,181,-1.1413755817370703
60,184,-1.1413780998257614
61,187,-1.1413838365483633
62,190,-1.1414329576129791
63,193,-1.1414960029735142
64,196,-1.1414902623997087
65,199,-1.1416689291672157
66,202,-1.1417072110207365
67,205,-1.1417693158433868
68,208,-1.1418135582021567
69,211,-1.1417797451284366
70,214,-1.141784285660087
71,217,-1.141804239380207
72,220,-1.141783467245301
73,223,-1.1418899058657128
74,226,-1.141909954882071
75,229,-1.1419361546847688
76,232,-1.14201647328573
77,235,-1.142046082047972
78,238,-1.1421417511175407
79,241,-1.1421833039468776
80,244,-1.1422023651068098
81,247,-1.1422714709448063
82,250,-1.1423145396916066
83,253,-1.142349620261537
84,256,-1.1423595935661157
85,259,-1.1423351977304588
86,262,-1.142485689938216
87,265,-1.1425013858246877
88,268,-1.1425091100978526
89,271,-1.1423413317465205
90,274,-1.1426664712122443
91,277,-1.142551468262515
92,280,-1.1426533417153237
93,283,-1.1426857584156198
94,286,-1.1427363980817944
95,289,-1.1427330795107469
96,292,-1.1427512702796512
97,295,-1.1428356685192533
98,298,-1.1429044912846829
99,301,-1.142904498101932
100,304,-1.1429923851068209
101,307,-1.1430138054081147
102,310,-1.1430176905390743
103,313,-1.1430189578717163
104,316,-1.1430379089268328
105,319,-1.143075547985465
106,322,-1.1431164522954016
107,325,-1.1431888006721065
108,328,-1.1431719130126896
109,331,-1.1432881771220103
110,334,-1.1432677375206335
111,337,-1.143325827210122
112,340,-1.143307198472566
113,343,-1.1433541120550368
114,346,-1.1433502582855657
115,349,-1.1433702767525378
116,352,-1.14338675214168
117,355,-1.1434318312401186
118,358,-1.1434162599138888
119,361,-1.1434344448760063
120,364,-1.14343016496588
121,367,-1.1434705245006882
122,370,-1.1433997757800034
123,373,-1.1434538663826672
124,376,-1.1434609162036404
125,379,-1.1434970201637982
126,382,-1.1435892064802584
127,385,-1.1437063648257788
128,388,-1.143676753417242
129,391,-1.1437454130734583
130,394,-1.1437371348061605
131,397,-1.1437656881003564
132,400,-1.1436341060107793
133,403,-1.1438052296407135
134,406,-1.1437840778610366
135,409,-1.1438099267965574
136,412,-1.1437882610077137
137,415,-1.143812414840485
138,418,-1.1438110603251401
139,421,-1.1438158964175622
140,424,-1.1438166309780156
141,427,-1.1438189874441245
142,430,-1.143821486200048
143,433,-1.1438235465111024
144,436,-1.143853356670987
145,439,-1.143905967275322
146,442,-1.143963502812763
147,445,-1.1440443112523124
148,448,-1.1441206694833965
149,451,-1.1441152532370917
150,454,-1.144145367192853
151,457,-1.1441293932758547
152,460,-1.1441572025413296
153,463,-1.1441676242929821
154,466,-1.1442066297269446
155,469,-1.1442414543194643
156,472,-1.1442109920652497
157,475,-1.1442521280344773
