iteration,nfev,energy
0,8,-1.1268341056038813
1,15,-1.1279334152341112
2,22,-1.1275918438767545
3,29,-1.129250650704218
4,36,-1.1272614644104002
5,43,-1.1298532447735896
6,50,-1.1134505567637736
7,57,-1.0017580366594472
8,64,-1.0470103151696957
9,71,-1.1173463287482424
10,78,-1.1300128558441516
11,85,-1.121777936585282
12,92,-1.0505116711258324
13,99,-0.8101871937860319
14,106,-0.7240867258820614
15,113,-1.0743534112863629
16,120,0.07818710111607327
17,127,-1.1051643217793459
18,134,-0.953556711318094
19,141,-1.0986001335494169
20,148,-0.9923701476678246
21,155,-1.1282541980429908
22,162,-1.092351923851832
23,169,-1.1047641493643652
24,176,-1.1225129295812342
25,183,-1.127324189784173
26,190,-1.1194611240404733
27,197,-1.1286541069715221
28,204,-1.121032923465497
29,211,-1.1316112247294956
30,218,-1.0460730379267078
31,225,-0.8787992626912148
32,232,-1.1136675936501947
33,239,-1.1068570895328622
34,246,-1.1300669722683379
35,253,-1.1292979070241116
36,260,-1.1286878439868786
37,267,-1.1325708307955449
38,274,-1.1328462312504388
39,281,-1.121794612289415
40,288,-1.1308351525095555
41,295,-1.0974465117299586
42,302,-1.1256251926086855
43,309,-1.0309965218159836
44,316,-1.1218781513081673
45,323,-1.1096710100195781
46,330,-1.1332521883676159
47,337,-1.131511444740614
48,344,-1.133653691658693
49,351,-1.1350923900772232
50,358,-1.1338915496747661
51,365,-1.1348667113099307
52,372,-1.1351032878148823
53,379,-1.1287691600638732
54,386,-1.1330279940296413
55,393,-1.13245438601251
56,400,-1.1313240382673102
57,407,-1.1272343455749474
58,414,-1.1321903069273562
59,421,-1.1341109177289457
60,428,-1.1274587614855758
61,435,-1.1315595538229626
62,442,-1.135105796134537
63,449,-1.1343153766129521
64,456,-1.1266440117765968
65,463,-1.1347900427694717
66,470,-1.12644312306237
67,477,-1.135016541243604
68,484,-1.1350963047983817
69,491,-1.1296074857311944
70,498,-1.1327399283466724
71,505,-1.13504823879857
72,512,-1.119377359596305
73,519,-1.1245073856741015
74,526,-1.1349024145839757
75,533,-1.1344392712122937
76,540,-1.1359280512521097
77,547,-1.1307377200343793
78,554,-1.0935847670623635
79,561,-1.1314534632216402
80,568,-1.132567536013024
81,575,-1.1188973476972564
82,582,-1.1229687852769534
83,589,-0.8803181828669275
84,596,-1.1198326187228658
85,603,-1.0976745302893474
86,610,-1.1357598866246577
87,617,-1.1196464760354035
88,624,-1.1210330800706065
89,631,-1.1350028754393564
90,638,-1.0001366499117048
91,645,-1.0207074227525874
92,652,-1.0847027909997673
93,659,-1.1341250364814375
94,666,-1.1225382298627933
95,673,-1.133295926497928
96,680,-1.0210397601254597
97,687,-1.1339094702545185
98,694,-1.1276298675412246
99,701,-1.1307766705667461
100,708,-1.1288841353086294
101,715,-1.106263779713666
102,722,-1.1289443764421736
103,729,-1.1359123561297262
104,736,-1.1282047451292598
105,743,-1.135287698371889
106,750,-1.1273591175824385
107,757,-1.1348266029214518
108,764,-1.1139721170780845
109,771,-1.1346007591811453
110,778,-1.1214339084423566
111,785,-1.134820766732526
112,792,-1.1290814709134673
113,799,-1.1352397481707848
114,806,-1.1297576385121098
115,813,-1.135551056485356
116,820,-1.134971190013341
117,827,-1.1346758479671282
118,834,-1.129540154585238
119,841,-1.1339120937044165
120,848,-1.1352478052260682
121,855,-1.1299557841161643
122,862,-1.1216631609338623
123,869,-1.1335316197188021
124,876,-1.1357242856441017
125,883,-1.1305420578115613
126,890,-1.1330742635097908
127,897,-1.1323926695921593
128,904,-1.1356928944805214
129,911,-1.135205922190328
130,918,-1.1337724325306209
131,925,-1.1330317739384805
132,932,-1.129562342666222
133,939,-1.134537009942154
134,946,-1.1350777957071094
135,953,-1.1359580228254513
136,960,-1.1357917928391315
137,967,-1.1361513070270604
138,974,-1.1341806425550973
139,981,-1.1360994503843649
140,988,-1.1355833561263062
141,995,-1.1361700743169396
142,1002,-1.1361624232409768
143,1009,-1.1352283894271122
144,1016,-1.1354290100115472
145,1023,-1.1359538282712436
146,1030,-1.1357312655638871
147,1037,-1.1352374808798538
148,1044,-1.1253743299614851
149,1051,-1.135870084076519
150,1058,-1.133694975170927
151,1065,-1.1348091905615076
152,1072,-1.1360260855036695
153,1079,-1.13575727187752
154,1086,-1.1345465044744598
155,1093,-1.134845637662706
156,1100,-1.1361574159638057
157,1107,-1.1359779344183767
158,1114,-1.135348475657611
159,1121,-1.1363172456271209
160,1128,-1.1359063193619976
161,1135,-1.1348601277185328
162,1142,-1.1364601440126205
163,1149,-1.136648569630079
164,1156,-1.1368172541543298
165,1163,-1.1369381353644534
166,1170,-1.1369860538253262
167,1177,-1.1369389210477405
168,1184,-1.1369830180800418
169,1191,-1.1368333183848134
170,1198,-1.1363905852768033
171,1205,-1.136959066572252
172,1212,-1.1357967734723102
173,1219,-1.1365980650723089
174,1226,-1.1369206492654298
175,1233,-1.1364314232108124
176,1240,-1.1368701227953033
177,1247,-1.136992611015133
178,1254,-1.1369741903020012
179,1261,-1.1365999719434132
180,1268,-1.1360764917625463
181,1275,-1.1367216247644654
182,1282,-1.136991380856843
183,1289,-1.1365697221439492
184,1296,-1.136800102461965
185,1303,-1.1366416145606912
186,1310,-1.1358539515551993
187,1317,-1.1369609575102264
188,1324,-1.136991466085481
189,1331,-1.1366718787684829
190,1338,-1.1369285959823
191,1345,-1.136247297775009
192,1352,-1.1368234365443084
193,1359,-1.135525269267457
194,1366,-1.1368711984064805
195,1373,-1.136650539813482
196,1380,-1.136980324589709
197,1387,-1.136970464182843
198,1394,-1.13632489427326
