iteration,nfev,energy
0,3,-1.1255332571161356
1,6,-1.1255361146180871
2,9,-1.1256947775100927
3,12,-1.1258269810554247
4,15,-1.1259962607095477
5,18,-1.1260047595497453
6,21,-1.1260119841801481
7,24,-1.1260287090712366
8,27,-1.1260313313692245
9,30,-1.126166793900567
10,33,-1.1261908139250945
11,36,-1.1264730412552797
12,39,-1.1264756562275167
13,42,-1.1264756053964107
14,45,-1.126631534000626
15,48,-1.126778373849201
16,51,-1.126787376994018
17,54,-1.1268011918484528
18,57,-1.126804005692393
19,60,-1.1269359093804692
20,63,-1.1270540091622192
21,66,-1.1270576199294307
22,69,-1.12707578011251
23,72,-1.1270765173828106
24,75,-1.1271853898751132
25,78,-1.1272787259784898
26,81,-1.12728419349533
27,84,-1.1275551619281883
28,87,-1.1277736831431535
29,90,-1.1277841893819462
30,93,-1.1278990243270515
31,96,-1.1279106001143686
32,99,-1.1280034845736515
33,102,-1.1280057413568776
34,105,-1.1280159989933076
35,108,-1.1281085375542932
36,111,-1.1281089345369804
37,114,-1.128204584174169
38,117,-1.128209718800289
39,120,-1.128211129872613
40,123,-1.1282133228673557
41,126,-1.1282658243887704
42,129,-1.1282921619376454
43,132,-1.1283120544240508
44,135,-1.1283156920925836
45,138,-1.1285259212752274
46,141,-1.1285331024376333
47,144,-1.12853392931003
48,147,-1.128700393897267
49,150,-1.1288557121032285
50,153,-1.1289852706010077
51,156,-1.1290980848119683
52,159,-1.129199386099449
53,162,-1.1291993851122566
54,165,-1.1292720562466614
55,168,-1.1294401742170028
56,171,-1.1295442510819496
57,174,-1.1296755327075478
58,177,-1.1296759625580086
59,180,-1.1296759737088382
60,183,-1.1296772431529283
61,186,-1.1298012826332036
62,189,-1.1299366084361617
63,192,-1.1299366360466119
64,195,-1.1299368687245017
65,198,-1.129937133744111
66,201,-1.129937337523725
67,204,-1.1299373468283922
68,207,-1.1299374660477217
69,210,-1.1300483750564185
70,213,-1.1300483394125695
71,216,-1.1300484934470882
72,219,-1.130048477326136
73,222,-1.1301426977696851
74,225,-1.1301426958607461
75,228,-1.13014276163539
76,231,-1.1301427517759646
77,234,-1.1302217845770486
78,237,-1.1302217903630372
79,240,-1.1302217575423221
80,243,-1.130221808892311
81,246,-1.1302228058120434
82,249,-1.130295396216992
83,252,-1.130389552155488
84,255,-1.1304666654406075
85,258,-1.1304685244922195
86,261,-1.1305339172860722
87,264,-1.1306030526852016
88,267,-1.1307187163400358
89,270,-1.1307192719879628
90,273,-1.1307202866270285
91,276,-1.1308240800849358
92,279,-1.130824896708469
93,282,-1.1308262688751989
94,285,-1.1308264652379232
95,288,-1.1308299467885001
96,291,-1.1308310526803333
97,294,-1.1309329574272378
98,297,-1.1309329556572973
99,300,-1.1310088874141528
100,303,-1.1310828721622461
101,306,-1.1310833128766742
102,309,-1.1310836861237892
103,312,-1.1310849730930628
104,315,-1.1311780271648755
105,318,-1.1311783935725404
106,321,-1.1312637651045008
107,324,-1.1312637505980254
108,327,-1.1312637621016366
109,330,-1.1313357481123623
110,333,-1.131335750693604
111,336,-1.1313357536213178
112,339,-1.1314062861069822
113,342,-1.1314865040035327
114,345,-1.1315568683397295
115,348,-1.1316275487989558
116,351,-1.1316277824933527
117,354,-1.1317021945901988
118,357,-1.1317622123280962
119,360,-1.131831216318679
120,363,-1.131832194911321
121,366,-1.1318939276945004
122,369,-1.1318946172276216
123,372,-1.1319619410105655
124,375,-1.1320242193887342
125,378,-1.132095422669344
126,381,-1.1320956162099218
127,384,-1.1320956511871145
128,387,-1.1320956614727709
129,390,-1.1321573887192593
130,393,-1.1321574664764171
131,396,-1.1321574687936367
132,399,-1.1321574636994838
133,402,-1.13220774313839
134,405,-1.1322079134561707
135,408,-1.1322079936176739
136,411,-1.1322083579169877
137,414,-1.132270286494161
138,417,-1.1323216665631641
139,420,-1.1323746590250074
140,423,-1.1323752408624963
