iter,nfev,E
   0,   13, 0.039996754859
   1,   15,-1.124790894227
   2,   17,-1.125330480296
   3,   19,-1.125327433110
   4,   21,-1.125300418138
   5,   23,-1.125335954541
   6,   25,-1.125308604917
   7,   27,-1.125293462470
   8,   28,-1.125133482282
   9,   30,-1.125370942262
  10,   31,-1.125934978595
  11,   32,-1.126756223854
  12,   33,-1.126773556444
  13,   35,-1.126831070979
  14,   36,-1.127945324709
  15,   37,-1.128848067538
  16,   38,-1.129886590596
  17,   39,-1.130514677363
  18,   40,-1.131877877571
  19,   41,-1.132814585549
  20,   42,-1.133547790164
  21,   44,-1.133542819258
  22,   46,-1.133592778172
  23,   47,-1.133909864468
  24,   48,-1.134243800339
  25,   49,-1.134376212047
  26,   50,-1.134533822233
  27,   52,-1.134584604883
  28,   53,-1.134657605385
  29,   54,-1.134750415151
  30,   56,-1.134781273545
  31,   57,-1.135159737483
  32,   58,-1.135315124386
  33,   59,-1.135550689514
  34,   60,-1.135605068388
  35,   61,-1.135808625971
  36,   63,-1.135804947453
  37,   64,-1.135837340034
  38,   66,-1.135717738205
  39,   67,-1.136041539791
  40,   68,-1.136146584303
  41,   69,-1.136316894622
  42,   70,-1.136476531033
  43,   71,-1.136564629333
  44,   72,-1.136683781490
  45,   73,-1.136788552108
  46,   75,-1.136694584635
  47,   76,-1.136810089286
  48,   77,-1.136854864890
  49,   78,-1.136925208285
  50,   79,-1.136970360595
  51,   81,-1.136955517117
  52,   82,-1.137009312812
  53,   84,-1.136994013990
  54,   85,-1.137026519213
  55,   86,-1.137081500508
  56,   88,-1.137093237556
  57,   90,-1.137066155028
  58,   92,-1.137085316774
  59,   94,-1.137100127430
  60,   95,-1.137087418250
  61,   97,-1.137098970569
  62,   99,-1.137100358197
  63,  100,-1.137100658171
  64,  101,-1.137100876305
  65,  103,-1.137100180826
  66,  104,-1.137103446249
  67,  105,-1.137105213813
  68,  106,-1.137105428725
  69,  107,-1.137106526284
  70,  108,-1.137106561755
  71,  110,-1.137106672763
  72,  111,-1.137106683723
  73,  113,-1.137107428167
