iter,nfev,E
0,   14,-1.125307964517
1,   16,-1.125361514010
2,   17,-1.125408815589
3,   18,-1.125421151069
4,   19,-1.125440864132
5,   20,-1.125462468347
6,   21,-1.125484893681
7,   22,-1.125510332229
8,   24,-1.125631753489
9,   25,-1.125590936743
10,   27,-1.125756807531
11,   28,-1.125683472811
12,   29,-1.125700988031
13,   30,-1.125738573747
14,   32,-1.125935103657
15,   33,-1.125835161786
16,   34,-1.125876926943
17,   35,-1.125919261063
18,   36,-1.125921842706
19,   38,-1.126150509133
20,   39,-1.126090562422
21,   40,-1.126135973393
22,   41,-1.126117443817
23,   43,-1.126404370891
24,   44,-1.126267018068
25,   45,-1.126389636315
26,   46,-1.126371754701
27,   48,-1.126580935243
28,   49,-1.126454790735
29,   51,-1.126922260175
30,   52,-1.126648735054
31,   53,-1.126642994003
32,   54,-1.126767963226
33,   55,-1.126691042479
34,   57,-1.127342938476
35,   58,-1.127015575424
36,   59,-1.127004952192
37,   60,-1.126812112749
38,   61,-1.127063461930
39,   62,-1.127196937393
40,   63,-1.127223475035
41,   64,-1.127295404159
42,   66,-1.127576224892
43,   68,-1.128030928495
44,   69,-1.127474414648
45,   70,-1.127832742719
46,   71,-1.127449086623
47,   72,-1.127792534088
48,   73,-1.127784014348
49,   75,-1.128657471125
50,   76,-1.128200368618
51,   77,-1.128320987776
52,   78,-1.128398208253
53,   79,-1.128023918628
54,   80,-1.128631215542
55,   82,-1.129460408261
56,   83,-1.129095106249
57,   84,-1.129119486554
58,   85,-1.129372331881
59,   86,-1.129084570778
60,   87,-1.129072344280
61,   89,-1.130275389977
62,   90,-1.130019536169
63,   91,-1.130215258108
64,   93,-1.131305879032
65,   94,-1.130671949877
66,   95,-1.131013303936
67,   96,-1.130346218848
68,   97,-1.130833380469
69,   99,-1.132645673320
70,  100,-1.131927156882
71,  101,-1.132239678476
72,  103,-1.134311150309
73,  104,-1.132922708520
74,  105,-1.133137332737
75,  106,-1.133278509990
76,  107,-1.133362712044
77,  108,-1.134118190430
78,  110,-1.135426629712
79,  111,-1.135127251516
80,  112,-1.135348775597
81,  113,-1.135421680575
82,  115,-1.135701307157
83,  117,-1.135981305798
84,  118,-1.135923145806
85,  119,-1.135639482757
86,  121,-1.134830587877
87,  122,-1.136296999875
88,  123,-1.135722785221
89,  125,-1.135598112553
90,  126,-1.136206165155
91,  128,-1.136011533694
92,  129,-1.136013666259
93,  131,-1.136134728390
94,  133,-1.136177657007
95,  135,-1.136307334157
96,  136,-1.136449297208
97,  137,-1.135969904881
98,  139,-1.136362887763
99,  141,-1.136335973915
100,  142,-1.136489935303
101,  143,-1.136118541087
102,  144,-1.136326755327
103,  146,-1.136512536702
104,  147,-1.136576321489
105,  148,-1.136216642557
106,  149,-1.136345496402
107,  151,-1.136532897983
108,  152,-1.136576981279
109,  154,-1.136554971205
110,  155,-1.136377990808
111,  157,-1.136574320748
112,  159,-1.136609413287
113,  161,-1.136588142205
114,  162,-1.136604561950
115,  164,-1.136518934513
116,  165,-1.136637461141
117,  166,-1.136638085050
118,  168,-1.136926915682
119,  169,-1.136755914037
120,  170,-1.136823739399
121,  172,-1.136726600816
122,  174,-1.136721894985
123,  175,-1.136772713312
124,  176,-1.136877916581
125,  177,-1.136635150566
126,  178,-1.136775355975
127,  179,-1.136717855643
128,  180,-1.136847945487
129,  181,-1.136793878134
130,  182,-1.136842974413
131,  183,-1.136917748039
132,  184,-1.136855378231
133,  186,-1.137029941169
134,  187,-1.136972670793
135,  188,-1.136872701593
136,  190,-1.136938940912
137,  191,-1.136956911777
138,  193,-1.137009375984
139,  194,-1.136899921518
140,  195,-1.136979103480
141,  197,-1.136979329439
142,  199,-1.137002195008
143,  200,-1.136965382373
144,  201,-1.137005346118
145,  203,-1.136989714731
146,  204,-1.137028058058
147,  205,-1.137015676493
148,  206,-1.137028518563
149,  208,-1.137027257159
150,  209,-1.137012727042
151,  211,-1.137033557761
152,  213,-1.137034375025
153,  215,-1.137041090181
154,  217,-1.137042121437
155,  219,-1.137044855424
156,  221,-1.137043186846
157,  222,-1.137034657910
158,  224,-1.137047539021
159,  226,-1.137047041929
160,  228,-1.137047244023
161,  230,-1.137047724167
162,  231,-1.137037635638
163,  233,-1.137048080536
164,  235,-1.137048292913
165,  237,-1.137049510182
166,  239,-1.137049600544
167,  241,-1.137049436470
168,  243,-1.137049858891
169,  245,-1.137050220162
170,  247,-1.137050492919
171,  249,-1.137050797438
172,  251,-1.137050172712
173,  253,-1.137051086163
174,  254,-1.137048742457
175,  256,-1.137051029662
176,  257,-1.137049794506
177,  259,-1.137051601806
178,  260,-1.137050303145
179,  261,-1.137051076191
180,  262,-1.137051004888
181,  264,-1.137052001898
182,  266,-1.137052564520
183,  268,-1.137052123603
184,  270,-1.137052528747
185,  271,-1.137051108032
186,  273,-1.137054097390
187,  274,-1.137052690080
188,  276,-1.137053493702
189,  277,-1.137053058594
190,  278,-1.137053809634
191,  280,-1.137053408585
192,  282,-1.137055068173
193,  284,-1.137056292761
194,  286,-1.137056580544
195,  288,-1.137057347099
196,  289,-1.137055174370
197,  291,-1.137058815518
198,  292,-1.137058251784
199,  294,-1.137060734254
200,  296,-1.137061815672
201,  297,-1.137060503088
202,  299,-1.137064343639
203,  301,-1.137071582548
204,  302,-1.137059679160
205,  303,-1.137062652765
206,  304,-1.137059547110
207,  305,-1.137065855923
208,  306,-1.137070041669
209,  307,-1.137061960642
210,  308,-1.137069710931
211,  309,-1.137068298212
212,  310,-1.137068850995
213,  311,-1.137071140652
214,  313,-1.137068046248
215,  315,-1.137067802819
216,  316,-1.137070086090
217,  318,-1.137077808004
218,  319,-1.137076960296
219,  320,-1.137075751882
220,  322,-1.137081338336
221,  323,-1.137074548948
222,  324,-1.137079161662
223,  326,-1.137083834704
224,  328,-1.137091371812
225,  329,-1.137080414461
226,  330,-1.137088112782
227,  331,-1.137090605680
228,  332,-1.137088277835
229,  333,-1.137083773549
230,  335,-1.137094433238
231,  337,-1.137097886190
232,  338,-1.137097209340
233,  340,-1.137100022264
234,  341,-1.137089594145
235,  342,-1.137096077490
236,  344,-1.137084235429
237,  346,-1.137079013712
238,  348,-1.137093175367
239,  350,-1.137086716997
240,  352,-1.137100006940
241,  354,-1.137110207203
242,  355,-1.137105668783
243,  357,-1.137104811225
244,  359,-1.137104952160
