iter,nfev,E
   0,  145,-106.766555675786
   1,  147,-108.618763070095
   2,  149,-108.618733595735
   3,  151,-108.618813813733
   4,  153,-108.619099900328
   5,  155,-108.619246722974
   6,  157,-108.619230038475
   7,  159,-108.619260664835
   8,  161,-108.619294547322
   9,  163,-108.619385208450
  10,  165,-108.619517949123
  11,  167,-108.619712103425
  12,  169,-108.619693449558
  13,  171,-108.619589965589
  14,  173,-108.619688203900
  15,  175,-108.619923046049
  16,  177,-108.620209274436
  17,  179,-108.620363302216
  18,  181,-108.621350704915
  19,  183,-108.621622399586
  20,  185,-108.621919356163
  21,  187,-108.622091914739
  22,  189,-108.622371893036
  23,  191,-108.622818988129
  24,  193,-108.623012379356
  25,  195,-108.623251362024
  26,  197,-108.623529821758
  27,  199,-108.623568173374
  28,  201,-108.623677491430
  29,  203,-108.623628950871
  30,  205,-108.623593260380
  31,  207,-108.625501607182
  32,  209,-108.625200530726
  33,  211,-108.625455182830
  34,  213,-108.624810113042
  35,  215,-108.625395328559
  36,  217,-108.625365528826
  37,  219,-108.625481385235
  38,  221,-108.625457422226
  39,  223,-108.625634924638
  40,  225,-108.625727948251
  41,  227,-108.625609885965
  42,  229,-108.625853390513
  43,  231,-108.625580770894
  44,  233,-108.625252366170
  45,  235,-108.625805856972
  46,  237,-108.625591996637
  47,  239,-108.625165137200
  48,  241,-108.625580352511
  49,  243,-108.625833249340
  50,  245,-108.625895337042
  51,  247,-108.625865897067
  52,  249,-108.625721927460
  53,  251,-108.625913859830
  54,  253,-108.625660093857
  55,  255,-108.625884474081
  56,  257,-108.625949241156
  57,  259,-108.625863000629
  58,  261,-108.625894587681
  59,  263,-108.626116129584
  60,  265,-108.626110180249
  61,  267,-108.625905188251
  62,  269,-108.626004260976
  63,  271,-108.626039861035
  64,  273,-108.626059260895
  65,  275,-108.626041042951
  66,  277,-108.626010878065
  67,  279,-108.626056319394
  68,  281,-108.626042489816
  69,  283,-108.625987802835
  70,  285,-108.625871207535
  71,  287,-108.626173572429
  72,  289,-108.625995257066
  73,  291,-108.625811583307
  74,  293,-108.626255130528
  75,  295,-108.626324878453
  76,  297,-108.626386924899
  77,  299,-108.626383537440
  78,  301,-108.625694908106
  79,  303,-108.626387549334
  80,  305,-108.626193913001
  81,  307,-108.626294924269
  82,  309,-108.626418452139
  83,  311,-108.626433336094
  84,  313,-108.626377219906
  85,  315,-108.626517259260
  86,  317,-108.626358627097
  87,  319,-108.626452833702
  88,  321,-108.626466327234
  89,  323,-108.626196138788
  90,  325,-108.626403170944
  91,  327,-108.626100110621
  92,  329,-108.626594862656
  93,  331,-108.626440866976
  94,  333,-108.626047709621
  95,  335,-108.625572687381
  96,  337,-108.626415663716
  97,  339,-108.626233912895
  98,  341,-108.626174677797
  99,  343,-108.626412418700
 100,  345,-108.626506322245
 101,  347,-108.626356905165
 102,  349,-108.622305538723
 103,  351,-108.621449438267
 104,  353,-108.622042134444
 105,  355,-108.621827192223
 106,  357,-108.623084426446
 107,  359,-108.621743628596
 108,  361,-108.620849172440
 109,  363,-108.621388551318
 110,  365,-108.620368050966
 111,  367,-108.623024037797
 112,  369,-108.625410926308
 113,  371,-108.626024956721
 114,  373,-108.624768479989
 115,  375,-108.626166350934
 116,  377,-108.627259374114
 117,  379,-108.627228868386
 118,  381,-108.626559271236
 119,  383,-108.625632271812
 120,  385,-108.626943473748
 121,  387,-108.628535346180
 122,  389,-108.626950057960
 123,  391,-108.626787344089
 124,  393,-108.626927527760
 125,  395,-108.626494673810
 126,  397,-108.626894735752
 127,  399,-108.628965232687
 128,  401,-108.627368209429
 129,  403,-108.627570841603
 130,  405,-108.628195391196
 131,  407,-108.627278053152
 132,  409,-108.626871738242
 133,  411,-108.628584434203
 134,  413,-108.627623126278
 135,  415,-108.628047862015
 136,  417,-108.627851762091
 137,  419,-108.627351984585
 138,  421,-108.626473825069
 139,  423,-108.627572973317
 140,  425,-108.628763466763
 141,  427,-108.627658565988
