iter,nfev,E
   0,  620,-108.615645540490
   1,  622,-108.613600568518
   2,  624,-108.615615011252
   3,  626,-108.613641179965
   4,  628,-108.612563058635
   5,  630,-108.612615044480
   6,  632,-108.612364417641
   7,  634,-108.614797479252
   8,  636,-108.612604085201
   9,  638,-108.612694670253
  10,  640,-108.616989332818
  11,  642,-108.613149338012
  12,  644,-108.616203734571
  13,  646,-108.618873666707
  14,  648,-108.616613660624
  15,  650,-108.613538916996
  16,  652,-108.613580952127
  17,  654,-108.613760879514
  18,  656,-108.613925006691
  19,  658,-108.613576899221
  20,  660,-108.611757074373
  21,  662,-108.615639730806
  22,  664,-108.616004867598
  23,  666,-108.616502953842
  24,  668,-108.617175336526
  25,  670,-108.616460362892
  26,  672,-108.614261362894
  27,  674,-108.616031727705
  28,  676,-108.615971210179
  29,  678,-108.615930502937
  30,  680,-108.615803074080
  31,  682,-108.614214222850
  32,  684,-108.616247956827
  33,  686,-108.614909230690
  34,  688,-108.614513545270
  35,  690,-108.614334672806
  36,  692,-108.617364009167
  37,  694,-108.616147247637
  38,  696,-108.616396843135
  39,  698,-108.614972673178
  40,  700,-108.614344980027
  41,  702,-108.613010962566
  42,  704,-108.613661104261
  43,  706,-108.615276850732
  44,  708,-108.613861945735
  45,  710,-108.615427376952
  46,  712,-108.613688993493
  47,  714,-108.613727633098
  48,  716,-108.615761883725
  49,  718,-108.613888903359
  50,  720,-108.613627325444
  51,  722,-108.611989660353
  52,  724,-108.616405976994
  53,  726,-108.613832895714
  54,  728,-108.614990751778
  55,  730,-108.613835255796
  56,  732,-108.612808716467
  57,  734,-108.613469419242
  58,  736,-108.614798343803
  59,  738,-108.613303742214
  60,  740,-108.612818050073
  61,  742,-108.613292698999
  62,  744,-108.616844971296
  63,  746,-108.614457426782
  64,  748,-108.554236446888
  65,  750,-108.566337643825
  66,  752,-108.595347181623
  67,  754,-108.603717173191
  68,  756,-108.610161294810
  69,  758,-108.579160263741
  70,  760,-108.604477897452
  71,  762,-108.599050109932
  72,  764,-108.604162433280
  73,  766,-108.592209684369
  74,  768,-108.590156826343
  75,  770,-108.581494244280
  76,  772,-108.606380707268
  77,  774,-108.577302882283
  78,  776,-108.580372706874
  79,  778,-108.576054380612
  80,  780,-108.544682063381
  81,  782,-108.604373140548
  82,  784,-108.608249310752
  83,  786,-108.616427019088
  84,  788,-108.613450134080
  85,  790,-108.608233765698
  86,  792,-108.550474533296
  87,  794,-108.579055533371
  88,  796,-108.569766244383
  89,  798,-108.589478538543
  90,  800,-108.587901293018
  91,  802,-108.585986091924
  92,  804,-108.611451615335
  93,  806,-108.607755471802
  94,  808,-108.613625252355
  95,  810,-108.604940920048
  96,  812,-108.605421452541
  97,  814,-108.602276431621
  98,  816,-108.581132545734
  99,  818,-108.612596266538
 100,  820,-108.592802900469
 101,  822,-108.589705609338
 102,  824,-108.580443582930
 103,  826,-108.609149791454
 104,  828,-108.604503413449
 105,  830,-108.599997304831
 106,  832,-108.609784202959
 107,  834,-108.583584405359
 108,  836,-108.582357602803
 109,  838,-108.569654671997
 110,  840,-108.612494977901
 111,  842,-108.565408323314
 112,  844,-108.607562881290
 113,  846,-108.606288049039
 114,  848,-108.609814940585
 115,  850,-108.606880420986
 116,  852,-108.608147985841
 117,  854,-108.609451304222
 118,  856,-108.561872117347
 119,  858,-108.566125539484
 120,  860,-108.571152402679
 121,  862,-108.612897637392
 122,  864,-108.584825192237
 123,  866,-108.590005278965
 124,  868,-108.579433109059
 125,  870,-108.608427384840
 126,  872,-108.606648027699
 127,  874,-108.603251147109
 128,  876,-108.605502038752
 129,  878,-108.602295084703
 130,  880,-108.599864416583
 131,  882,-108.591762320924
 132,  884,-108.586836562334
 133,  886,-108.587669193435
 134,  888,-108.598189390341
 135,  890,-108.586762795875
