iter,nfev,E
   0,  619,-108.611285182890
   1,  620,-108.611285510633
   2,  621,-108.611285679930
   3,  622,-108.611285994284
   4,  623,-108.611285750998
   5,  624,-108.611286071898
   6,  625,-108.611286223173
   7,  626,-108.611286551551
   8,  627,-108.611189040513
   9,  628,-108.611256032395
  10,  629,-108.611197879632
  11,  631,-108.611217876146
  12,  632,-108.611243114807
  13,  633,-108.611247277325
  14,  634,-108.611238854182
  15,  636,-108.611220033691
  16,  638,-108.611219279678
  17,  639,-108.611233325742
  18,  641,-108.611220525018
  19,  642,-108.611206041848
  20,  643,-108.611242482210
  21,  644,-108.611260785025
  22,  645,-108.611242515530
  23,  646,-108.611201544066
  24,  648,-108.611223069506
  25,  649,-108.611239474102
  26,  650,-108.611226035273
  27,  652,-108.611222906803
  28,  653,-108.611232637434
  29,  655,-108.611225317412
  30,  656,-108.611230734510
  31,  657,-108.611223098859
  32,  658,-108.611233810195
  33,  659,-108.611235226518
  34,  660,-108.611233811590
  35,  662,-108.611225293812
  36,  663,-108.611222249469
  37,  664,-108.611223973252
  38,  665,-108.611233678912
  39,  666,-108.611232012045
  40,  667,-108.611232411594
  41,  668,-108.611231330351
  42,  669,-108.611236426521
  43,  670,-108.611238572007
  44,  671,-108.611233306154
  45,  672,-108.611221077815
  46,  673,-108.611231373739
  47,  674,-108.611240951550
  48,  675,-108.611238544967
  49,  676,-108.611229152288
  50,  677,-108.611221191991
  51,  678,-108.611242295293
  52,  679,-108.611235570572
  53,  680,-108.611233602866
  54,  681,-108.611227780979
  55,  682,-108.611226217947
  56,  683,-108.611232907053
  57,  684,-108.611240020236
  58,  685,-108.611243232099
  59,  686,-108.611220894001
  60,  687,-108.611243038478
  61,  688,-108.611237879068
  62,  689,-108.611224789704
  63,  690,-108.611238667632
  64,  691,-108.611234386709
  65,  692,-108.611234479145
  66,  693,-108.611239610080
  67,  694,-108.611242607681
  68,  695,-108.611242707810
  69,  696,-108.611237254595
  70,  697,-108.611239283133
  71,  698,-108.611242781221
  72,  699,-108.611242882001
  73,  700,-108.611240503240
  74,  701,-108.611235922380
  75,  702,-108.611232229585
  76,  703,-108.611242846781
  77,  704,-108.611232274265
  78,  705,-108.611242871130
  79,  706,-108.611222850564
  80,  707,-108.611239415947
  81,  708,-108.611239033983
  82,  709,-108.611243004135
  83,  710,-108.611241170622
  84,  711,-108.611240383177
  85,  712,-108.611237904284
  86,  713,-108.611237041274
  87,  714,-108.611240431354
  88,  715,-108.611233203025
  89,  716,-108.611238298544
  90,  717,-108.611238106786
  91,  718,-108.611240590223
  92,  719,-108.611220843650
  93,  721,-108.611229470841
  94,  722,-108.611236616044
  95,  723,-108.611241730757
  96,  724,-108.611241884717
  97,  725,-108.611229940121
  98,  726,-108.611222736094
  99,  727,-108.611240868787
 100,  728,-108.611244449530
 101,  729,-108.611244433496
 102,  730,-108.611242950723
 103,  731,-108.611239905859
 104,  732,-108.611236001534
 105,  733,-108.611242332756
 106,  734,-108.611240452271
 107,  735,-108.611242513473
 108,  736,-108.611241611601
 109,  737,-108.611220931117
 110,  739,-108.611229159121
 111,  740,-108.611239666138
 112,  741,-108.611242314196
 113,  742,-108.611240858647
 114,  743,-108.611221037132
 115,  744,-108.611241975944
 116,  745,-108.611239867809
 117,  747,-108.611229295922
 118,  749,-108.611229969102
 119,  750,-108.611242608028
 120,  752,-108.611229756553
 121,  753,-108.611240838527
 122,  754,-108.611241257020
 123,  755,-108.611240121837
 124,  756,-108.611239194104
 125,  757,-108.611240984167
 126,  758,-108.611240187396
 127,  759,-108.611242582130
 128,  760,-108.611242791596
 129,  761,-108.611242796016
 130,  762,-108.611241787199
 131,  763,-108.611243262513
 132,  764,-108.611242570460
 133,  765,-108.611240456910
 134,  766,-108.611242690398
 135,  767,-108.611242654843
 136,  768,-108.611243171855
 137,  769,-108.611242944949
 138,  770,-108.611242952349
 139,  771,-108.611243182431
 140,  772,-108.611243139446
 141,  773,-108.611242898857
 142,  774,-108.611243062844
 143,  775,-108.611243531319
 144,  776,-108.611243059054
 145,  777,-108.611243484151
 146,  778,-108.611239948651
 147,  779,-108.611242419127
 148,  780,-108.611242980247
 149,  781,-108.611243388319
 150,  782,-108.611243796681
 151,  783,-108.611243793389
 152,  784,-108.611244127014
 153,  785,-108.611237308152
 154,  786,-108.611244611230
 155,  787,-108.611243499962
