iteration,nfev,energy
0,4,-108.57886999577815
1,7,-108.57869354091643
2,10,-108.57935173964113
3,13,-108.57958304856952
4,16,-108.5791786248258
5,19,-108.57954915314328
6,22,-108.58024989659307
7,25,-108.57976345260914
8,28,-108.58042587251128
9,31,-108.58055609285493
10,34,-108.58058059915099
11,37,-108.58089070187746
12,40,-108.58093492927813
13,43,-108.58150445582353
14,46,-108.58163184571633
15,49,-108.58169925504276
16,52,-108.58177537629373
17,55,-108.58549668642146
18,58,-108.58556689788324
19,61,-108.585836410131
20,64,-108.58594554910832
21,67,-108.58597772482305
22,70,-108.58601220253925
23,73,-108.5860925633843
24,76,-108.58727685101287
25,79,-108.59015324041702
26,82,-108.59051258603212
27,85,-108.59050258069912
28,88,-108.59048833501343
29,91,-108.59015582625402
30,94,-108.59035798890932
31,97,-108.59012013823343
32,100,-108.59078581053463
33,103,-108.5912376814846
34,106,-108.59138996270372
35,109,-108.59209989479511
36,112,-108.59244560786075
37,115,-108.59392409073503
38,118,-108.59378914948903
39,121,-108.59332527082428
40,124,-108.59384735969049
41,127,-108.59403491711595
42,130,-108.59435137377054
43,133,-108.59446033318474
44,136,-108.59535331305652
45,139,-108.59508456151632
46,142,-108.59532281873875
47,145,-108.5949448452411
48,148,-108.59591782258785
49,151,-108.59555518442299
50,154,-108.59611230201283
51,157,-108.59711950447519
52,160,-108.59837823903726
53,163,-108.59835440666225
54,166,-108.59835247471437
55,169,-108.59834531152114
56,172,-108.59839454762096
57,175,-108.5983504518929
58,178,-108.59837352743104
59,181,-108.59829463704168
60,184,-108.59847255515264
61,187,-108.59837492872308
62,190,-108.59847364818307
63,193,-108.59844674020431
64,196,-108.59841652614314
65,199,-108.59839983872914
66,202,-108.5983521226151
67,205,-108.59918626517167
68,208,-108.599256536795
69,211,-108.59923238320816
70,214,-108.59928807318866
71,217,-108.5994499801045
72,220,-108.59950895190518
73,223,-108.59976424793308
74,226,-108.60002019554312
75,229,-108.6001893537517
76,232,-108.60095136169484
77,235,-108.60087659374574
78,238,-108.6008401185907
79,241,-108.60126712256975
80,244,-108.60126683498324
81,247,-108.6013018381557
82,250,-108.60135488440885
83,253,-108.60130512562989
84,256,-108.60219413190245
85,259,-108.60254494883301
86,262,-108.60263178086669
87,265,-108.60259849330534
88,268,-108.60236848091192
89,271,-108.60263049198147
90,274,-108.60260456854213
91,277,-108.6031615591684
92,280,-108.60368952909339
93,283,-108.60366448844294
94,286,-108.60377824665507
95,289,-108.60408859377179
96,292,-108.60416456502698
97,295,-108.60422548499653
98,298,-108.60486677209332
99,301,-108.6048657605901
100,304,-108.6049125991291
101,307,-108.60479065194366
102,310,-108.60534584941773
103,313,-108.60521709375786
104,316,-108.60556958492246
105,319,-108.60571061766056
106,322,-108.60608203703117
107,325,-108.6062377191039
108,328,-108.60649024872401
109,331,-108.60633707872813
110,334,-108.60673046859893
111,337,-108.60648943237159
112,340,-108.60670655629181
113,343,-108.60660082174655
114,346,-108.60667361996187
115,349,-108.60621411073191
116,352,-108.60672110675574
117,355,-108.60668874742758
118,358,-108.6068556585995
119,361,-108.60671883002378
120,364,-108.60694197016804
121,367,-108.60705965173746
122,370,-108.60704443593639
123,373,-108.60703449096047
124,376,-108.60703717515969
125,379,-108.60724682536365
126,382,-108.60755407829406
127,385,-108.60755560814947
128,388,-108.60764986511819
129,391,-108.60783757028582
130,394,-108.60823480558585
131,397,-108.60825795274732
132,400,-108.60800321046528
133,403,-108.60823838841618
134,406,-108.60824722838967
135,409,-108.60890686105103
136,412,-108.6088250294026
137,415,-108.6088175389226
138,418,-108.60891734318996
139,421,-108.60901783530335
140,424,-108.60897118387169
141,427,-108.60900159883336
142,430,-108.60958661957373
143,433,-108.60944844312857
144,436,-108.60960667219443
145,439,-108.6096107795406
146,442,-108.60944062988386
147,445,-108.60971641221361
148,448,-108.60985345439633
149,451,-108.60977005294637
150,454,-108.61054377971044
151,457,-108.61066904695855
152,460,-108.61065644828524
153,463,-108.61075105986039
154,466,-108.61128236988598
155,469,-108.6112464470485
156,472,-108.6112718665342
157,475,-108.61129497682059
158,478,-108.61133886058079
159,481,-108.61184851033094
160,484,-108.61211255103353
161,487,-108.61217082518726
162,490,-108.61295401616042
163,493,-108.61305929331022
164,496,-108.61302751139249
165,499,-108.61322328401006
166,502,-108.61351056056733
167,505,-108.61368674951056
168,508,-108.61364400701247
169,511,-108.61365936891737
170,514,-108.61353373328308
171,517,-108.61373193463153
172,520,-108.6142452168007
173,523,-108.61439372826469
174,526,-108.61441658947783
175,529,-108.61450337547052
176,532,-108.61576041707649
177,535,-108.61579209987354
178,538,-108.6163231048814
179,541,-108.61633078654765
180,544,-108.61623858914236
181,547,-108.61632753211848
182,550,-108.61630298512911
183,553,-108.61645662295146
184,556,-108.61670196585422
185,559,-108.61699621706678
186,562,-108.61701308775389
187,565,-108.61701051901166
188,568,-108.61702262595308
189,571,-108.6170465797046
190,574,-108.61706751609073
191,577,-108.61752632617124
192,580,-108.61755842306725
193,583,-108.61784055948992
194,586,-108.61787248893411
195,589,-108.61827929834776
196,592,-108.61846328837393
197,595,-108.61841355433852
198,598,-108.61857131142752
199,601,-108.61863775425842
200,604,-108.61858904437968
201,607,-108.61848098043457
202,610,-108.61866645476184
203,613,-108.61865266409825
204,616,-108.61853740790025
205,619,-108.61851334565229
206,622,-108.6186923495251
207,625,-108.61892110014973
208,628,-108.61887195126131
209,631,-108.61896018467304
210,634,-108.61914312616626
211,637,-108.61914749395062
212,640,-108.61925912028066
213,643,-108.61938816197375
